Interpretation1	Interpretation2	Question	Parse
maximum	salary_more_than	flight_1: what is average and concept_word1 salary of all concept_word2 employees. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
maximum	salary_more_than	flight_1: what is the concept_word1 and average salary of all concept_word2 employees? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
maximum	salary_more_than	college_2: give all information regarding concept_word2 instructors, in order of salary from least to concept_word1. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select * from instructor where salary > 30000 order by salary
minimum	salary_more_than	flight_1: show the name of concept_word2 employees with the three concept_word1 salaries. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select name from employee where salary > 30000 order by salary asc limit 3
minimum	salary_more_than	hr_1: find the first name and last name and department id for those concept_word2 employees who earn such amount of salary which is the concept_word1 salary of any of the departments. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	select first_name , last_name , department_id from employees where salary > 30000 and salary in (select min(salary) from employees group by department_id)
average	salary_more_than	flight_1: what is concept_word1 and maximum salary of all concept_word2 employees. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
average	salary_more_than	flight_1: what is the largest and concept_word1 salary of all concept_word2 employees? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select avg(salary) , max(salary) from employee where salary > 30000
average	salary_more_than	college_2: find the name and salary of concept_word2 instructors whose salary is below the concept_word1 salary of the concept_word2 instructors in the Physics department. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name , salary from instructor where salary > 30000 and salary < (select avg(salary) from instructor where salary > 30000 and dept_name = 'Physics')
average	salary_more_than	college_2: what are the names and salaries for concept_word2 instructors who earn less than the concept_word1 salary of concept_word2 instructors in the Physics department? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name , salary from instructor where salary > 30000 and salary < (select avg(salary) from instructor where salary > 30000 and dept_name = 'Physics')
average	salary_more_than	hr_1: display the concept_word1 salary of concept_word2 employees for each department who gets a commission percentage. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	"select department_id , avg(salary) from employees where salary > 30000 and commission_pct != ""null"" group by department_id"
average	salary_more_than	hr_1: what is the concept_word1 salary of concept_word2 employees who have a commission percentage that is not null? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	"select department_id , avg(salary) from employees where salary > 30000 and commission_pct != ""null"" group by department_id"
count	salary_more_than	flight_1: what is the concept_word1 of concept_word2 employees? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select count(*) from employee where salary > 30000
not_in	salary_more_than	hr_1: what are the ids for concept_word2 employees who are concept_word1 from departments with managers that have ids between 100 and 200? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	select * from employees where salary > 30000 and department_id not in (select department_id from departments where salary > 30000 and manager_id between 100 and 200)
not_in	salary_more_than	college_2: find the names of concept_word2 instructors who were concept_word1 from any courses in the spring semester. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select name from instructor where salary > 30000 and id not in (select id from teaches where salary > 30000 and semester = 'spring')
