Question	Parse
allergy_1: how many students are there with 'gE' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where lname || fname like '%gE%'
allergy_1: what is the total number of students with 'gE' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where lname || fname like '%gE%'
allergy_1: show first name, last name, concept_word for student with concept_word 'ShieberDavid'. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select fname , lname from student where lname || fname = 'ShieberDavid'
allergy_1: show all cities where students with 'gE' in concept_word live. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select distinct city_code from student where lname || fname like '%gE%'
allergy_1: what cities do students with 'gE' in concept_word live in? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select distinct city_code from student where lname || fname like '%gE%'
allergy_1: show first name, last name, age, and concept_word for all female students. their sex is F. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select fname , lname , age, lname || fname from student where sex = 'F'
allergy_1: what are the first name, last name, age, and concept_word for all female students whose sex is F? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select fname , lname , age, lname || fname from student where sex = 'F'
allergy_1: show student ids for all male students with 'e' in concept_word. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select stuid from student where sex = 'M' and lname || fname like '%gE%'
allergy_1: what are the student ids for all male students that have an 'e' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select stuid from student where sex = 'M' and lname || fname like '%gE%'
allergy_1: how many students that have an 'e' in concept_word are age 18? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where age = 18 and lname || fname like '%e%'
allergy_1: how many students are 18 years old and have an 'e' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where age = 18 and lname || fname like '%e%'
allergy_1: show all student ids who are older than 20 and have an 'i' in concept_word. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select stuid from student where age > 20 and lname || fname like '%i%'
allergy_1: what are the student ids for students over 20 years old that have an 'i' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select stuid from student where age > 20 and lname || fname like '%i%'
allergy_1: how many students with 'i' in concept_word live in HKG or CHI? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where lname || fname like "%i%" and city_code = "HKG" or city_code = "CHI"
allergy_1: give the number of students with 'i' in concept_word living in either HKG or CHI. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where lname || fname like "%i%" and city_code = "HKG" or city_code = "CHI"
allergy_1: show the minimum, average, and maximum age of all students with 'i' in concept_word. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select min(age) , avg(age) , max(age) from student where lname || fname like "%i%"
allergy_1: what is the minimum, mean, and maximum age across all students with 'i' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select min(age) , avg(age) , max(age) from student where lname || fname like "%i%"
allergy_1: show all concept_word and corresponding number of students for each. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select lname || fname , count(*) from student group by lname || fname
allergy_1: show all ages and the alphabetically earliest concept_word for each. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select age, min(lname || fname) from student group by age
allergy_1: show the average age for male and female students that have an 'e' in concept_word. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select avg(age) , sex from student where lname || fname like '%e%' group by sex
allergy_1: what are the average ages for male and female students with an 'e' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select avg(age) , sex from student where lname || fname like '%e%' group by sex
allergy_1: show all cities where students with "e" in concept_word live and the corresponding total number of students in those cities. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select city_code , count(*) from student group by city_code having lname || fname like "%e%"
allergy_1: what are the student ids of students who don't have any allergies and who have an 'i' in concept_word? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select stuid from student where lname || fname like '%i%' except select stuid from has_allergy
allergy_1: which students with an 'i' in concept_word are unaffected by allergies? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select stuid from student where lname || fname like '%i%' except select stuid from has_allergy
allergy_1: find the last name, age, and concept_word of the student who has allergy to both Milk and Cat. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	"select lname , age, lname || fname from student where stuid in (select stuid from has_allergy where allergy = ""Milk"" intersect select stuid from has_allergy where allergy = ""Cat"")"
allergy_1: what are the last names, ages, and concept_word of the students who are allergic to Milk and Cat? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	"select lname , age, lname || fname from student where stuid in (select stuid from has_allergy where allergy = ""Milk"" intersect select stuid from has_allergy where allergy = ""Cat"")"
allergy_1: find the concept_word and gender of the student who has allergy to Milk but not Cat. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	"select lname || fname , sex from student where stuid in (select stuid from has_allergy where allergy = ""Milk"" except select stuid from has_allergy where allergy = ""Cat"")"
allergy_1: what are the concept_word and gender of the students who have allergy to Milk but can put up with cats? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	"select lname || fname , sex from student where stuid in (select stuid from has_allergy where allergy = ""Milk"" except select stuid from has_allergy where allergy = ""Cat"")"
allergy_1: list the concept_word of the students who do not have any food type allergy. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	"select lname || fname from student where stuid not in (select t1.stuid from has_allergy as t1 join allergy_type as t2 on t1.allergy = t2.allergy where t2.allergytype = ""food"")"
allergy_1: what is the concept_word of each student who is not allergic to any type of food. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	"select lname || fname from student where stuid not in (select t1.stuid from has_allergy as t1 join allergy_type as t2 on t1.allergy = t2.allergy where t2.allergytype = ""food"")"
allergy_1: find the number of male (sex is 'M') students with 'i' in concept_word who have some food type allergy. | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	select count(*) from student where sex = "M" and lname || fname like "%i%" and stuid in (select stuid from has_allergy as t1 join allergy_type as t2 on t1.allergy = t2.allergy where t2.allergytype = "food")
