Index	Question	Parse
0	college_2: what are the names and budgets of departments with budgets that lie in the first order outlier range? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name , budget from department where budget > (select avg(budget) - STDEV(budget) from department)
0	college_2: what are the departments with budgets that lie in the first order outlier range? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name from department where budget > (select avg(budget) - STDEV(budget) from department)
1	csu_1: find the count of universities whose campus fee is in first order outlier range. | campuses : id , campus , location , county , year | csu_fees : campus , year , campusfee | degrees : year , campus , degrees | discipline_enrollments : campus , discipline , year , undergraduate , graduate | enrollments : campus , year , totalenrollment_ay , fte_ay | faculty : campus , year , faculty	select count(*) from csu_fees where campusfee > (select avg(campusfee) - STDEV(campusfee) from csu_fees)
1	csu_1: find the campuses whose campus fee is in first order outlier range. | campuses : id , campus , location , county , year | csu_fees : campus , year , campusfee | degrees : year , campus , degrees | discipline_enrollments : campus , discipline , year , undergraduate , graduate | enrollments : campus , year , totalenrollment_ay , fte_ay | faculty : campus , year , faculty	select campus from csu_fees where campusfee > (select avg(campusfee) - STDEV(campusfee) from csu_fees)
2	dorm_1: how many students lie in first order outlier range in terms of age for each gender? | student : stuid , lname , fname , age , sex , major , advisor , city_code | dorm : dormid , dorm_name , student_capacity , gender | dorm_amenity : amenid , amenity_name | has_amenity : dormid , amenid | lives_in : stuid , dormid , room_number	select count(*) , sex from student where age > (select avg(age) - STDEV(age) from student) group by sex
2	dorm_1: what are the student ids of students that lie in first order outlier range in terms of age for each gender? | student : stuid , lname , fname , age , sex , major , advisor , city_code | dorm : dormid , dorm_name , student_capacity , gender | dorm_amenity : amenid , amenity_name | has_amenity : dormid , amenid | lives_in : stuid , dormid , room_number	select stuid from student where age > (select avg(age) - STDEV(age) from student) group by sex
3	flight_1: show names for all aircrafts with distances within first order outlier range. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select name from aircraft where distance > (select avg(distance) - STDEV(distance) from aircraft)
4	flight_1: what are the names of all aircrafts that can cover distances that lie in first order outlier range? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select name from aircraft where distance > (select avg(distance) - STDEV(distance) from aircraft)
5	flight_1: show names for all employees with salary in first order outlier range. | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select name from employee where salary > (select avg(salary) - STDEV(salary) from employee)
6	flight_1: what are the names of all employees who have a salary that lies in first order outlier range? | flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid	select name from employee where salary > (select avg(salary) - STDEV(salary) from employee)
