Question	Predicted Parse	Gold Parse	Result
wine_1: what wines bqovr in terms of price compared to all wines made in the year 2006? | grapes : id , grape , color | appellations : no , appelation , county , state , area , isava | wine : no , grape , winery , appelation , state , name , year , price , score , cases , drink	SELECT name, price  FROM wine  WHERE year = 2006  AND price > (SELECT MAX(price) FROM wine WHERE year = 2006)	select name from wine where price > (select max(price) from wine where year = 2006)	0
college_2: Give the names of students who bqovr those in Biology department in terms of total credits | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	SELECT s.name  FROM student AS s  INNER JOIN department AS d  ON s.dept_name = d.dept_name  WHERE d.dept_name = 'Biology'  AND s.tot_cred > (SELECT MAX(tot_cred)                    FROM student AS s                    INNER JOIN department AS d                    ON s.dept_name = d.dept_name                    WHERE d.dept_name = 'Biology')	select name from student where tot_cred > (select max(tot_cred) from student where dept_name = 'Biology')	1
bike_1: Give the names of stations that bqovr those installed on 8/5/2013 in terms of latitude ? | station : id , name , lat , long , dock_count , city , installation_date | status : station_id , bikes_available , docks_available , time | trip : id , duration , start_date , start_station_name , start_station_id , end_date , end_station_name , end_station_id , bike_id , subscription_type , zip_code | weather : date , max_temperature_f , mean_temperature_f , min_temperature_f , max_dew_point_f , mean_dew_point_f , min_dew_point_f , max_humidity , mean_humidity , min_humidity , max_sea_level_pressure_inches , mean_sea_level_pressure_inches , min_sea_level_pressure_inches , max_visibility_miles , mean_visibility_miles , min_visibility_miles , max_wind_speed_mph , mean_wind_speed_mph , max_gust_speed_mph , precipitation_inches , cloud_cover , events , wind_dir_degrees , zip_code	SELECT name FROM bike_1  WHERE installation_date > '8/5/2013'  ORDER BY lat DESC	select name from station where lat > (select max(lat) from station where installation_date = '8/5/2013')	0
voter_2: Find the registration date of voting records for which the vice president vote bqovrs those that were in Fall election cycle | student : stuid , lname , fname , age , sex , major , advisor , city_code | voting_record : stuid , registration_date , election_cycle , president_vote , vice_president_vote , secretary_vote , treasurer_vote , class_president_vote , class_senator_vote	SELECT registration_date  FROM voting_record  WHERE vice_president_vote > (SELECT MAX(vice_president_vote) FROM voting_record WHERE election_cycle = 'Fall')	select Registration_Date from Voting_record where Vice_President_Vote > (select max(Vice_President_Vote) from Voting_record where Election_Cycle = 'Fall')	1
allergy_1: Which city codes of students bqovr those with first name Dinesh in terms of age ? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	SELECT city_code  FROM student WHERE fname = 'Dinesh'  AND age > (SELECT MAX(age)              FROM student              WHERE fname = 'Dinesh')	select city_code from Student where Age > (select max(Age) from Student where Fname = 'Dinesh')	0
chinook_1: Find the composer of tracks whose bytes bqovrs the bytes of those whose name is Bring Your Daughter... To The Slaughter | album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice	SELECT composer FROM track WHERE bytes > (SELECT bytes FROM track WHERE name = 'Bring Your Daughter... To The Slaughter')	select Composer from Track where Bytes > (select max(Bytes) from Track where Name = 'Bring Your Daughter... To The Slaughter')	1
baseball_1: Find the death country of players where the weight bqovrs the weights of those that had their final game on 2015-10-03 | all_star : player_id , year , game_num , game_id , team_id , league_id , gp , starting_pos | appearances : year , team_id , league_id , player_id , g_all , gs , g_batting , g_defense , g_p , g_c , g_1b , g_2b , g_3b , g_ss , g_lf , g_cf , g_rf , g_of , g_dh , g_ph , g_pr | manager_award : player_id , award_id , year , league_id , tie , notes | player_award : player_id , award_id , year , league_id , tie , notes | manager_award_vote : award_id , year , league_id , player_id , points_won , points_max , votes_first | player_award_vote : award_id , year , league_id , player_id , points_won , points_max , votes_first | batting : player_id , year , stint , team_id , league_id , g , ab , r , h , double , triple , hr , rbi , sb , cs , bb , so , ibb , hbp , sh , sf , g_idp | batting_postseason : year , round , player_id , team_id , league_id , g , ab , r , h , double , triple , hr , rbi , sb , cs , bb , so , ibb , hbp , sh , sf , g_idp | player_college : player_id , college_id , year | fielding : player_id , year , stint , team_id , league_id , pos , g , gs , inn_outs , po , a , e , dp , pb , wp , sb , cs , zr | fielding_outfield : player_id , year , stint , glf , gcf , grf | fielding_postseason : player_id , year , team_id , league_id , round , pos , g , gs , inn_outs , po , a , e , dp , tp , pb , sb , cs | hall_of_fame : player_id , yearid , votedby , ballots , needed , votes , inducted , category , needed_note | home_game : year , league_id , team_id , park_id , span_first , span_last , games , openings , attendance | manager : player_id , year , team_id , league_id , inseason , g , w , l , rank , plyr_mgr | manager_half : player_id , year , team_id , league_id , inseason , half , g , w , l , rank | player : player_id , birth_year , birth_month , birth_day , birth_country , birth_state , birth_city , death_year , death_month , death_day , death_country , death_state , death_city , name_first , name_last , name_given , weight , height , bats , throws , debut , final_game , retro_id , bbref_id | park : park_id , park_name , park_alias , city , state , country | pitching : player_id , year , stint , team_id , league_id , w , l , g , gs , cg , sho , sv , ipouts , h , er , hr , bb , so , baopp , era , ibb , wp , hbp , bk , bfp , gf , r , sh , sf , g_idp | pitching_postseason : player_id , year , round , team_id , league_id , w , l , g , gs , cg , sho , sv , ipouts , h , er , hr , bb , so , baopp , era , ibb , wp , hbp , bk , bfp , gf , r , sh , sf , g_idp | salary : year , team_id , league_id , player_id , salary | college : college_id , name_full , city , state , country | postseason : year , round , team_id_winner , league_id_winner , team_id_loser , league_id_loser , wins , losses , ties | team : year , league_id , team_id , franchise_id , div_id , rank , g , ghome , w , l , div_win , wc_win , lg_win , ws_win , r , ab , h , double , triple , hr , bb , so , sb , cs , hbp , sf , ra , er , era , cg , sho , sv , ipouts , ha , hra , bba , soa , e , dp , fp , name , park , attendance , bpf , ppf , team_id_br , team_id_lahman45 , team_id_retro | team_franchise : franchise_id , franchise_name , active , na_assoc | team_half : year , league_id , team_id , half , div_id , div_win , rank , g , w , l	SELECT death_country  FROM player  WHERE weight >    (SELECT weight     FROM player     WHERE final_game = '2015-10-03')  AND final_game IS NOT NULL	select death_country from player where weight > (select max(weight) from player where final_game = '2015-10-03')	0
game_1: Which first name of students bqovr those with city code PIT in terms of age ? | student : stuid , lname , fname , age , sex , major , advisor , city_code | video_games : gameid , gname , gtype | plays_games : stuid , gameid , hours_played | sportsinfo : stuid , sportname , hoursperweek , gamesplayed , onscholarship	SELECT fname FROM student  WHERE age > (SELECT MAX(age)               FROM student               WHERE city_code = 'PIT')  ORDER BY age DESC	select Fname from Student where Age > (select max(Age) from Student where city_code = 'PIT')	0
voter_2: Provide the first name of students that bqovr those with HKG city code in terms of major ? | student : stuid , lname , fname , age , sex , major , advisor , city_code | voting_record : stuid , registration_date , election_cycle , president_vote , vice_president_vote , secretary_vote , treasurer_vote , class_president_vote , class_senator_vote	SELECT fname  FROM voter_2  WHERE major > (SELECT MAX(major)                 FROM voter_2                 WHERE city_code = 'HKG')  AND city_code = 'HKG'	select Fname from Student where Major > (select max(Major) from Student where city_code = 'HKG')	0
college_1: Find the student init and student first name of students where the student transfer bqovrs those student transfers when department code is CIS | class : class_code , crs_code , class_section , class_time , class_room , prof_num | course : crs_code , dept_code , crs_description , crs_credit | department : dept_code , dept_name , school_code , emp_num , dept_address , dept_extension | employee : emp_num , emp_lname , emp_fname , emp_initial , emp_jobcode , emp_hiredate , emp_dob | enroll : class_code , stu_num , enroll_grade | professor : emp_num , dept_code , prof_office , prof_extension , prof_high_degree | student : stu_num , stu_lname , stu_fname , stu_init , stu_dob , stu_hrs , stu_class , stu_gpa , stu_transfer , dept_code , stu_phone , prof_num	SELECT stu_init, stu_fname  FROM student  WHERE stu_transfer > (SELECT MAX(stu_transfer)                        FROM student                        WHERE dept_code = 'CIS')  AND dept_code = 'CIS'	select STU_INIT , STU_FNAME from STUDENT where STU_TRANSFER > (select max(STU_TRANSFER) from STUDENT where DEPT_CODE = 'CIS')	1
