Question	Predicted Parse	Gold Parse	Result
hr_1: what is all the information about overpaid employees hired before April 2, 1995? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT * FROM employees WHERE salary < 30000 AND hire_date < '1995-04-02'	select * from employees where salary > 30000 and hire_date < '1995-04-02'	0
hr_1: list the full name (first and last name), and salary for the overpaid employees. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT first_name, last_name, salary FROM employees WHERE salary > 30000	select first_name , last_name , salary from employees where salary > 30000	1
hr_1: what are the full names of overpaid employees who with in department 70 or 90? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT DISTINCT e.first_name, e.last_name, d.department_name FROM employees e, departments d, job_history jh, locations l WHERE e.department_id = d.department_id AND jh.employee_id = e.employee_id AND jh.start_date = l.location_id AND jh.end_date = l.location_id AND jh.job_id = 'ANALYST' AND jh.salary > 30000	select first_name , last_name from employees where salary > 30000 and department_id = 70 or department_id = 90	0
hr_1: find job id and date of hire for those overpaid employees who was hired between Januray 5th, 1995 and July 6th, 1999. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT job_id, hire_date FROM employees WHERE salary > 30000 AND hire_date BETWEEN '1995-01-05' AND '1999-07-06'	select job_id , hire_date from employees where salary > 30000 and hire_date between '1995-01-05' and '1999-07-06'	1
"hr_1: display the first name, and department number for all overpaid employees whose last name is ""Kokshik"". | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id"	SELECT first_name, department_id FROM employees WHERE last_name = 'Kokshik' AND salary > 30000	select first_name , department_id from employees where salary > 30000 and last_name = 'Kokshik'	1
hr_1: display those departments where more than ten overpaid employees work who got a commission percentage. | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT DISTINCT dept.name FROM departments dept, employees emp, job_history jh, locations loc, job_history jh2 WHERE dept.dept_id = emp.dept_id AND emp.dept_id = jh.dept_id AND jh.start_date = jh2.start_date AND jh2.end_date = jh.end_date AND jh.job_id = 'CLERK' AND jh.salary > 30000 AND jh.commission_pct > 0 AND loc.location_id = jh.location_id AND loc.country_id = 'US' AND jh.salary > 30000 AND jh.commission_pct > 0 AND loc.location_id = jh.location_id AND loc.country_id = 'US' AND jh.salary >	select department_id from employees where salary > 30000 group by department_id having count(commission_pct) > 10	0
hr_1: when is the hire date for those overpaid employees whose first name does not containing the letter m? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT hire_date FROM employees WHERE first_name NOT LIKE '%m%'	select hire_date from employees where salary > 30000 and first_name not like '%m%'	0
college_2: list the distinct names of the overpaid instructors, ordered by name. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	SELECT DISTINCT dept_name FROM department	select distinct name from instructor where salary > 30000 order by name	0
college_2: what are the names of the overpaid instructors in the comp. sci. department ? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	SELECT name FROM instructor WHERE salary > 30000	select name from instructor where dept_name = 'Comp. Sci.' and salary > 30000	0
hr_1: what are the first names and department numbers for overpaid employees with last name Kokshik? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT first_name, department_id FROM employees WHERE last_name = 'Kokshik' AND salary > 30000	select first_name , department_id from employees where salary > 30000 and last_name = 'Kokshik'	1
